CHECK SHEET NO,생산일자,공장,공정코드,신규분류요약,함수율,품목코드,품명,양품수량,불량수량,샘플수량,생산수량,샘플창고수량,샘플제외 양품수량,멸균번호,기계코드,상태,SIZE
S20260125-488,2026-01-29,S관(3공장),[80] 누수/규격검사,Si_1-Day_Color_Sph,45,P0174A-01.00DBK3,Clalen O2O2 D_Deep Black_45%,900,5,0,905,0,900,OG95,누수/규격검사(3공장),확인,14.2
S20260129-354,2026-01-31,S관(3공장),[45] 하이드레이션/전면검사,Si_1-Day_Color_Sph,45,P0174A-01.00DBK3,Clalen O2O2 D_Deep Black_45%,938,0,0,938,0,938,,S관 실리콘 자동수화기,확인,14.2
S20260129-354,2026-02-01,S관(3공장),[80] 누수/규격검사,Si_1-Day_Color_Sph,45,P0174A-01.00DBK3,Clalen O2O2 D_Deep Black_45%,910,5,0,915,0,910,OG95,누수/규격검사(3공장),확인,14.2
C20251018-373,2026-01-18,C관(2공장),[80] 누수/규격검사,1-Day_Color_Sph,55,P1014A-05.00XUY,Clalen D_XUYU_55%,"1,840",0,0,"1,840",0,"1,840",OG94,누수/규격검사(2공장),확인,14.5
C20251018-373,2026-01-18,C관(2공장),[55] 접착/ 멸균,1-Day_Color_Sph,55,P1014A-05.00XUY,Clalen D_XUYU_55%,"1,840",10,,"1,850",0,"1,840",OG94,검사35호기,확인,14.5
C20251013-464,2026-01-17,C관(2공장),[45] 하이드레이션/전면검사,1-Day_Color_Sph,55,P1016A-01.00MIZ,Clalen D_MIZONG_55%,"2,420",0,0,"2,420",0,"2,420",,워터배스2-11호기,확인,14.5
C20251013-464,2026-01-17,C관(2공장),[80] 누수/규격검사,1-Day_Color_Sph,55,P1016A-01.00MIZ,Clalen D_MIZONG_55%,"2,375",5,0,"2,380",0,"2,375",OG94,누수/규격검사(2공장),확인,14.5
C20251013-464,2026-01-17,C관(2공장),[55] 접착/ 멸균,1-Day_Color_Sph,55,P1016A-01.00MIZ,Clalen D_MIZONG_55%,"2,380",35,5,"2,420",0,"2,380",OG94,검사35호기,확인,14.5
C20251004-272,2026-01-15,C관(2공장),[80] 누수/규격검사,1-Day_Color_Sph,55,P1017A-02.50LDA,Clalen D_LANDIAO_55%,"3,555",5,0,"3,560",0,"3,555",OG94,누수/규격검사(2공장),확인,14.5
C20251004-272,2026-01-14,C관(2공장),[45] 하이드레이션/전면검사,1-Day_Color_Sph,55,P1017A-02.50LDA,Clalen D_LANDIAO_55%,"3,600",4,0,"3,604",0,"3,600",,워터배스2-11호기,확인,14.5
C20251004-272,2026-01-14,C관(2공장),[55] 접착/ 멸균,1-Day_Color_Sph,55,P1017A-02.50LDA,Clalen D_LANDIAO_55%,"3,560",35,5,"3,600",0,"3,560",OG94,검사37호기,확인,14.5
S20260107-121,2026-02-01,S관(3공장),[80] 누수/규격검사,Si_1-Day_M/F,45,P1025A+01.50+2.00,O2O2_Multifocal_K2_SMDH_WHITE_OPHTALMIC,"1,115",0,0,"1,115",0,"1,115",OG95,누수/규격검사(3공장),확인,14.2
S20260107-121,2026-01-31,S관(3공장),[55] 접착/ 멸균,Si_1-Day_M/F,45,P1025A+01.50+2.00,O2O2_Multifocal_K2_SMDH_WHITE_OPHTALMIC,"1,115",31,,"1,146",0,"1,115",OG95,A형 인라인1호기,확인,14.2
S20260107-121,2026-01-27,S관(3공장),[45] 하이드레이션/전면검사,Si_1-Day_M/F,45,P1025A+01.50+2.00,O2O2_Multifocal_K2_SMDH_WHITE_OPHTALMIC,"1,146",23,0,"1,169",0,"1,146",,S관 실리콘 자동수화기,확인,14.2
S20260117-486,2026-02-05,S관(3공장),[45] 하이드레이션/전면검사,Si_1-Day_M/F,45,P1025A+02.50+2.00,O2O2_Multifocal_K2_SMDH_WHITE_OPHTALMIC,"1,705",2,0,"1,707",0,"1,705",,S관 실리콘 자동수화기,확인,14.2
S20260117-486,2026-02-05,S관(3공장),[55] 접착/ 멸균,Si_1-Day_M/F,45,P1025A+02.50+2.00,O2O2_Multifocal_K2_SMDH_WHITE_OPHTALMIC,"1,685",20,,"1,705",0,"1,685",OG95,A형 인라인5호기,확인,14.2
S20260117-486,2026-02-05,S관(3공장),[80] 누수/규격검사,Si_1-Day_M/F,45,P1025A+02.50+2.00,O2O2_Multifocal_K2_SMDH_WHITE_OPHTALMIC,"1,675",10,0,"1,685",0,"1,675",OG95,누수/규격검사(3공장),확인,14.2
S20251119-393,2026-01-31,S관(3공장),[80] 누수/규격검사,Si_1-Day_M/F,45,P1025A+04.00+2.00,O2O2_Multifocal_K2_SMDH_WHITE_OPHTALMIC,"1,055",0,0,"1,055",0,"1,055",OG95,누수/규격검사(3공장),확인,14.2
S20251119-393,2026-01-27,S관(3공장),[45] 하이드레이션/전면검사,Si_1-Day_M/F,45,P1025A+04.00+2.00,O2O2_Multifocal_K2_SMDH_WHITE_OPHTALMIC,"1,079",0,0,"1,079",0,"1,079",,S관 실리콘 자동수화기,확인,14.2
s20251119-393,2026-01-30,S관(3공장),[55] 접착/ 멸균,Si_1-Day_M/F,45,P1025A+04.00+2.00,O2O2_Multifocal_K2_SMDH_WHITE_OPHTALMIC,"1,055",24,,"1,079",0,"1,055",OG95,A형 인라인5호기,확인,14.2
S20260112-304,2026-01-26,S관(3공장),[45] 하이드레이션/전면검사,Si_1-Day_Sph,45,P1026A-01.25,O2O2 Spherical_K2-SMDH_WHITE_OPHTALMIC,"1,797",0,0,"1,797",0,"1,797",,S관 실리콘 자동수화기,확인,14.2
S20260112-304,2026-01-27,S관(3공장),[80] 누수/규격검사,Si_1-Day_Sph,45,P1026A-01.25,O2O2 Spherical_K2-SMDH_WHITE_OPHTALMIC,"1,775",5,0,"1,780",0,"1,775",OG95,누수/규격검사(3공장),확인,14.2
s20260112-304,2026-01-26,S관(3공장),[55] 접착/ 멸균,Si_1-Day_Sph,45,P1026A-01.25,O2O2 Spherical_K2-SMDH_WHITE_OPHTALMIC,"1,780",17,,"1,797",0,"1,780",OG95,A형 인라인3호기,확인,14.2
S20251212-426,2026-01-08,S관(3공장),[45] 하이드레이션/전면검사,Si_1-Day_Sph,45,P1026A-01.25,O2O2 Spherical_K2-SMDH_WHITE_OPHTALMIC,"2,462",37,0,"2,499",0,"2,462",,S관 실리콘 자동수화기,확인,14.2
S20251212-426,2026-01-08,S관(3공장),[55] 접착/ 멸균,Si_1-Day_Sph,45,P1026A-01.25,O2O2 Spherical_K2-SMDH_WHITE_OPHTALMIC,"2,420",42,,"2,462",0,"2,420",OG93,A형 인라인2호기,확인,14.2
S20251211-427,2026-01-06,S관(3공장),[45] 하이드레이션/전면검사,Si_1-Day_Sph,45,P1026A-01.25,O2O2 Spherical_K2-SMDH_WHITE_OPHTALMIC,"2,481",4,0,"2,485",0,"2,481",,S관 실리콘 자동수화기,확인,14.2
S20251211-427,2026-01-07,S관(3공장),[80] 누수/규격검사,Si_1-Day_Sph,45,P1026A-01.25,O2O2 Spherical_K2-SMDH_WHITE_OPHTALMIC,"2,430",15,0,"2,445",0,"2,430",OG93,누수/규격검사(3공장),확인,14.2
s20251211-427,2026-01-07,S관(3공장),[55] 접착/ 멸균,Si_1-Day_Sph,45,P1026A-01.25,O2O2 Spherical_K2-SMDH_WHITE_OPHTALMIC,"2,445",36,,"2,481",0,"2,445",OG93,A형 인라인3호기,확인,14.2
C20260128-257,2026-02-01,C관(2공장),[55] 접착/ 멸균,1-Day_Color_Sph,55,P5107A-08.50SAS,PIA D_Sakura Smore_55% UV,"2,235",15,,"2,250",0,"2,235",OG95,검사44호기,확인,14.2
C20260128-257,2026-02-01,C관(2공장),[80] 누수/규격검사,1-Day_Color_Sph,55,P5107A-08.50SAS,PIA D_Sakura Smore_55% UV,"2,230",5,0,"2,235",0,"2,230",OG95,누수/규격검사(2공장),확인,14.2
C20260128-257,2026-01-31,C관(2공장),[45] 하이드레이션/전면검사,1-Day_Color_Sph,55,P5107A-08.50SAS,PIA D_Sakura Smore_55% UV,"2,250",1,0,"2,251",0,"2,250",,워터배스2-14호기,확인,14.2
C20260128-362,2026-01-29,C관(2공장),[20] 분리,1-Day_Color_Sph,55,Q1060-03.75GBY2,PIA D_Gray Bunny_55% UV 14.2,"2,144",276,,"2,420",0,"2,144",,분리12호기,확인,14.2
C20260127-595,2026-01-29,C관(2공장),[20] 분리,1-Day_Color_Sph,55,Q1060-04.75GBY2,PIA D_Gray Bunny_55% UV 14.2,"1,284",161,,"1,445",0,"1,284",,분리12호기,확인,14.2
C20260127-598,2026-01-28,C관(2공장),[20] 분리,1-Day_Color_Sph,55,Q1060-04.75GBY2,PIA D_Gray Bunny_55% UV 14.2,"3,349",330,,"3,679",0,"3,349",,분리12호기,확인,14.2
C20260123-256,2026-01-24,C관(2공장),[20] 분리,1-Day_Color_Sph,55,Q1060-04.75GBY2,PIA D_Gray Bunny_55% UV 14.2,"1,085",256,,"1,341",0,"1,085",,분리27호기,확인,14.2
C20260126-356,2026-01-28,C관(2공장),[45] 하이드레이션/전면검사,1-Day_Color_Sph,55,P1061A-00.75CRW3,PIA D_Cherish Brown_55% UV 14.2,"2,080",4,0,"2,084",0,"2,080",,워터배스2-11호기,확인,14.2
C20260126-356,2026-01-30,C관(2공장),[80] 누수/규격검사,1-Day_Color_Sph,55,P1061A-00.75CRW3,PIA D_Cherish Brown_55% UV 14.2,"2,015",10,0,"2,025",0,"2,015",OG95,누수/규격검사(2공장),확인,14.2
C20260126-356,2026-01-30,C관(2공장),[55] 접착/ 멸균,1-Day_Color_Sph,55,P1061A-00.75CRW3,PIA D_Cherish Brown_55% UV 14.2,"2,025",55,,"2,080",0,"2,025",OG95,검사32호기,확인,14.2
C20260126-370,2026-01-28,C관(2공장),[55] 접착/ 멸균,1-Day_Color_Sph,55,P1061A-01.75CRW3,PIA D_Cherish Brown_55% UV 14.2,"3,075",65,5,"3,145",0,"3,075",OG95,검사32호기,확인,14.2
C20260126-370,2026-01-28,C관(2공장),[80] 누수/규격검사,1-Day_Color_Sph,55,P1061A-01.75CRW3,PIA D_Cherish Brown_55% UV 14.2,"3,060",15,0,"3,075",0,"3,060",OG95,누수/규격검사(2공장),확인,14.2
C20260129-463,2026-02-01,C관(2공장),[45] 하이드레이션/전면검사,1-Day_Color_Sph,55,P1061A-01.75CRW3,PIA D_Cherish Brown_55% UV 14.2,"2,935",0,0,"2,935",0,"2,935",,워터배스2-1호기,확인,14.2
C20260129-463,2026-02-03,C관(2공장),[80] 누수/규격검사,1-Day_Color_Sph,55,P1061A-01.75CRW3,PIA D_Cherish Brown_55% UV 14.2,"2,905",10,0,"2,915",0,"2,905",OG95,누수/규격검사(2공장),확인,14.2
C20260129-463,2026-02-03,C관(2공장),[55] 접착/ 멸균,1-Day_Color_Sph,55,P1061A-01.75CRW3,PIA D_Cherish Brown_55% UV 14.2,"2,915",15,5,"2,935",0,"2,915",OG95,검사32호기,확인,14.2
C20260126-370,2026-01-27,C관(2공장),[45] 하이드레이션/전면검사,1-Day_Color_Sph,55,P1061A-01.75CRW3,PIA D_Cherish Brown_55% UV 14.2,"3,145",0,0,"3,145",0,"3,145",,워터배스2-9호기,확인,14.2
C20260126-368,2026-01-27,C관(2공장),[55] 접착/ 멸균,1-Day_Color_Sph,55,P1061A-01.75CRW3,PIA D_Cherish Brown_55% UV 14.2,"2,825",270,,"3,095",0,"2,825",OG95,검사38호기,확인,14.2
C20260125-672,2026-01-27,C관(2공장),[55] 접착/ 멸균,1-Day_Color_Sph,55,P1061A-01.75CRW3,PIA D_Cherish Brown_55% UV 14.2,"3,090",65,5,"3,160",0,"3,090",OG95,검사36호기,확인,14.2
C20260126-368,2026-01-27,C관(2공장),[45] 하이드레이션/전면검사,1-Day_Color_Sph,55,P1061A-01.75CRW3,PIA D_Cherish Brown_55% UV 14.2,"3,095",3,0,"3,098",0,"3,095",,워터배스2-10호기,확인,14.2
C20260125-672,2026-01-27,C관(2공장),[80] 누수/규격검사,1-Day_Color_Sph,55,P1061A-01.75CRW3,PIA D_Cherish Brown_55% UV 14.2,"3,060",30,0,"3,090",0,"3,060",OG95,누수/규격검사(2공장),확인,14.2
C20260126-368,2026-01-30,C관(2공장),[80] 누수/규격검사,1-Day_Color_Sph,55,P1061A-01.75CRW3,PIA D_Cherish Brown_55% UV 14.2,"2,790",35,0,"2,825",0,"2,790",OG95,누수/규격검사(2공장),확인,14.2
C20260125-672,2026-01-27,C관(2공장),[45] 하이드레이션/전면검사,1-Day_Color_Sph,55,P1061A-01.75CRW3,PIA D_Cherish Brown_55% UV 14.2,"3,160",14,0,"3,174",0,"3,160",,워터배스2-10호기,확인,14.2
C20260125-675,2026-01-27,C관(2공장),[80] 누수/규격검사,1-Day_Color_Sph,55,P1061A-02.00CRW3,PIA D_Cherish Brown_55% UV 14.2,"3,050",20,0,"3,070",0,"3,050",OG95,누수/규격검사(2공장),확인,14.2
C20260125-675,2026-01-26,C관(2공장),[55] 접착/ 멸균,1-Day_Color_Sph,55,P1061A-02.00CRW3,PIA D_Cherish Brown_55% UV 14.2,"3,070",25,5,"3,100",0,"3,070",OG95,검사38호기,확인,14.2
C20260125-675,2026-01-26,C관(2공장),[45] 하이드레이션/전면검사,1-Day_Color_Sph,55,P1061A-02.00CRW3,PIA D_Cherish Brown_55% UV 14.2,"3,100",2,0,"3,102",0,"3,100",,워터배스2-8호기,확인,14.2
C20260201-535,2026-02-02,C관(2공장),[20] 분리,1-Day_Color_Sph,55,Q1061-05.00CRW3,PIA D_Cherish Brown_55% UV 14.2,"2,260",265,,"2,525",0,"2,260",,분리20호기,확인,14.2
C20260123-245,2026-01-23,C관(2공장),[20] 분리,1-Day_Color_Sph,55,Q1061-05.00CRW3,PIA D_Cherish Brown_55% UV 14.2,"2,755",285,,"3,040",0,"2,755",,분리29호기,확인,14.2
C20251122-491,2026-01-05,A관(1공장),[45] 하이드레이션/전면검사,FRP_Color_Sph,38,P7512M-05.50BEO1,Baby Espresso_PIA_M_중사각(Y),"1,000",0,0,"1,000",0,"1,000",,워터배스1-6호기,확인,14.5
C20251122-491,2026-01-05,A관(1공장),[55] 접착/ 멸균,FRP_Color_Sph,38,P7512M-05.50BEO1,Baby Espresso_PIA_M_중사각(Y),958,42,0,"1,000",0,958,OG93,검사6호기,확인,14.5
C20251122-491,2026-01-06,A관(1공장),[80] 누수/규격검사,FRP_Color_Sph,38,P7512M-05.50BEO1,Baby Espresso_PIA_M_중사각(Y),943,10,5,958,0,943,OG93,누수/규격검사(1공장),확인,14.5
C20260108-329,2026-01-11,C관(2공장),[20] 분리,1-Day_Color_Sph,55,Q3179-03.50TBR,PIA D_Teddy Brown_55% UV,"1,806",154,,"1,960",0,"1,806",,분리24호기,확인,14.2
C20260108-333,2026-01-11,C관(2공장),[20] 분리,1-Day_Color_Sph,55,Q3179-03.50TBR,PIA D_Teddy Brown_55% UV,667,80,,747,0,667,,분리26호기,확인,14.2
C20250925-115,2026-01-08,C관(2공장),[20] 분리,1-Day_Color_Sph,55,Q3205-04.25BRW3,AKMA REAL FIT 3 COLOR Brown,684,53,,737,0,684,,분리26호기,확인,14.2
